p,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,9.714376618573752,28.0,4.428244233431987e-10,0.48568967716429906,0.4850910894046904,0.0052542696114868635,0.0012779008049127914,0.0015913948196915864,0.0014309932983439706,0.001462942519633511
0.05,9.246995253733672,24.0,7.944781805516339e-06,0.4352792759061518,0.4349287584327663,0.2709888111486838,0.06557008228771956,0.06581092203322576,0.06577624570202083,0.06560385912551332
0.1,8.79450373523076,24.0,6.070203737177033e-06,0.38234312220516903,0.38666238662120384,0.387934807742622,0.07741942805254176,0.0773863124967621,0.07739884612969958,0.07752843060137164
0.15000000000000002,8.334447591078213,23.0,-2.394750748925935e-05,0.3851467980694968,0.38669611252037545,0.38492681967198933,0.07969936067707921,0.07965823228223903,0.07966091224736667,0.07971853692972801
0.2,7.8769876940567265,23.0,8.652606336653247e-06,0.3853980730187789,0.38585864520204577,0.3851387734327431,0.08224509941118836,0.08237843878837227,0.08233736807229178,0.08229795404422016
0.25,7.424353458018301,23.0,-4.4498933930855415e-07,0.3852340960013973,0.38546218357510337,0.38507195796315163,0.08533088482050478,0.08543852038554586,0.08538980504604252,0.08539051691581179
0.30000000000000004,6.977301970841312,23.0,1.387644669162641e-05,0.38486131413503655,0.38503880377394123,0.384851291289925,0.0890122429605966,0.08909131152169669,0.08906821624466994,0.08904536647668915
0.35000000000000003,6.537113436493634,23.0,1.2226389879989785e-05,0.3843368650215583,0.38445033864431194,0.38431162395793184,0.09349922735687738,0.093542487698419,0.09354084870297906,0.09351373174717038
0.4,6.105984233933762,24.0,1.7714671644963442e-06,0.3834464968403297,0.38348758926706494,0.3834333315797107,0.09909004921682338,0.09911456467867037,0.09912729773685326,0.09910097353109876
0.45,5.687028175368384,24.0,6.468035202483648e-07,0.3818883012868139,0.38189737870062007,0.38188984325728365,0.10631619149928509,0.10633737248819922,0.10634862577763962,0.1063245037383064
0.5,5.391239677823828,35.0,2.58269403634109e-07,0.2431526119180415,0.40133158463264657,0.16779217715792666,0.24290212684995752,0.24282473102395646,0.24288837857084175,0.24274206751678415
0.55,5.738854539355314,51.0,-5.896703375535766e-08,8.402175785623889e-05,4.886930886708067e-05,4.243347247963399e-05,0.34638981821627274,0.34628347055524183,0.34633616340355383,0.34630064434854707
0.6000000000000001,6.222303914619326,51.0,-6.593048141280617e-08,6.345138169238534e-05,5.794177828331429e-05,3.63610971551169e-05,0.34646449234327276,0.34627610370538436,0.3463555218702282,0.34630890891683225
0.65,6.712901221765675,51.0,-1.5717448595785327e-07,5.5925250116964186e-05,4.7592747327567744e-05,3.142933154508311e-05,0.34645826566627935,0.34635979324867255,0.3462800115332562,0.34638373567785696
0.7000000000000001,7.209306598480792,51.0,-1.9754688159320463e-07,4.914501010303589e-05,3.8992303388372505e-05,2.401399966477345e-05,0.3465060797137811,0.34640150549048526,0.3462565166487949,0.34638801563223165
0.75,7.710479152836104,51.0,-2.166293660412562e-07,4.002759023064284e-05,2.8000212212978936e-05,1.89647117985817e-05,0.346567476845098,0.3464254981170643,0.3462291014898085,0.34638828503846825
0.8,8.215944331679417,51.0,-1.5975180972005226e-07,2.829992252576187e-05,2.0518010769785487e-05,1.3623997129959166e-05,0.34669501021903276,0.3463000243746805,0.34624253981983394,0.3464131758610023
0.8500000000000001,8.724104966656098,51.0,-1.5550035985205645e-07,2.2396131955571575e-05,1.3842399376329739e-05,9.577107290881047e-06,0.3467181805248989,0.34640775470245555,0.3461759712127817,0.34639303314211933
0.9,9.2351814965055,51.0,-1.6721363606165445e-07,1.3985409260210117e-05,8.45579823377735e-06,5.723732171801274e-06,0.3467511257359789,0.3464147524377524,0.34612930252739316,0.34643277447638654
0.9500000000000001,9.748578069900635,51.0,-1.2997374268457315e-07,6.741071640331726e-06,3.902679907392827e-06,2.6267726541183835e-06,0.34680112808263963,0.3464071052848586,0.3460978468655931,0.3464480770117544
1.0,10.263900427638154,51.0,-8.911177275628486e-08,3.4518866294670656e-08,2.7209532295152273e-08,3.392242375489986e-08,0.3468287159374405,0.34640578359961494,0.34608459825874105,0.34645571277204124
