h,T,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,0.01,63.864004358185106,8.0,-3.7749865981682976e-07,0.37611895967102965,0.37611981961005886,0.376120461528746,0.09914085404734317,0.09914026018605568,0.09914132020461981,0.09914079717062847
0.05,0.01,63.93626660353978,8.0,-0.017892665107154867,0.37594139734223947,0.37594185132327906,0.37587097195451785,0.09920989597944017,0.09921080539503735,0.09872951679781253,0.09872940677230742
0.1,0.01,64.15422322907158,8.0,-0.03760258166604028,0.37531305746607596,0.3753115533099799,0.37528004439666895,0.0994284000822592,0.09942975271965586,0.09747655390998977,0.09747755726558716
0.15000000000000002,0.01,64.52149205826014,8.0,-0.0617789266214271,0.3739307733881659,0.37392635698116794,0.3748507261481545,0.09985074979264005,0.09985120881864303,0.09529411808707901,0.09529470888012471
0.2,0.01,65.04472542959543,8.0,-0.09506277621933754,0.3711833808347645,0.3711890013364361,0.37557708276456925,0.1006563739519741,0.10065268362902331,0.09194861788648426,0.09194846031460568
0.25,0.01,65.73422783417328,6.0,-0.13811579314531397,0.36678834182432013,0.3668055433994549,0.37774381910902244,0.10192688416292274,0.10192431769811575,0.08746746244418123,0.08746838271974824
0.30000000000000004,0.01,66.59665004718613,6.0,-0.17295289836345007,0.3630476258270434,0.3630517563004884,0.3769024049132409,0.10266129252834501,0.10266084939917124,0.08331930473070355,0.08331609931639171
0.35000000000000003,0.01,67.63151668895016,6.0,-0.19854712156784293,0.3605398852576114,0.3605667815984454,0.3718687221753443,0.10256100406344781,0.10255943453364433,0.07971241400606384,0.07971541562007281
0.4,0.01,68.84021805311654,6.0,-0.22083295315639728,0.3586717701774759,0.35852966893804644,0.36379166040364064,0.101875415820339,0.10187351864775918,0.07618827244534371,0.07616292795529303
0.45,0.01,70.2272151535814,6.0,-0.24199384867890827,0.35683220630990464,0.3568286614661931,0.3530767572152529,0.10066243901765422,0.10063992605695328,0.07271684903846426,0.07233645081986699
0.5,0.01,71.80251533061735,6.0,-0.2668848241417292,0.3585926581005048,0.35855149158441063,0.33060217059759733,0.0966212144361976,0.09658532108004625,0.06978631154617164,0.07019703407182203
0.55,0.01,73.60005836536685,2.0,-0.2962917069568939,0.35541785771957995,0.3555786482952913,0.313378986835461,0.09581419766189722,0.09580345419796182,0.03656050262699747,0.09117254391929759
0.6000000000000001,0.01,75.58547013035427,2.0,-0.2929662861705009,0.35013069526755186,0.3503240995934301,0.29785551030500074,0.09479506652307029,0.09483663884696515,0.09638211058952355,0.022636754904221797
0.65,0.01,76.23123434073327,0.0,-4.576591315759508e-09,9.866281927601146e-05,0.5528891338884508,0.00012589953365312457,1.1634043238076653e-06,8.123359475577184e-07,9.501286064363263e-07,6.789917497698675e-07
0.7000000000000001,0.01,79.23349038462068,0.0,-3.103373270955485e-10,0.5334115519485592,1.3879371882018046e-05,4.600169024295574e-06,5.294260085758966e-07,1.212044802043615e-06,1.7950423191227578e-06,1.0281218304227225e-06
0.75,0.01,82.41714440607838,0.0,-1.3536934160066376e-10,1.5873848115848098e-05,0.5132424639729234,3.245483860165932e-06,1.0299855681499918e-06,1.0852569637333707e-06,1.4493546400044978e-06,5.99078006980139e-07
0.8,0.01,85.77103162120814,0.0,6.211131868544284e-11,0.49239961511442193,1.2226020244521711e-05,4.23284142251223e-06,7.428882854180268e-07,9.405631914436979e-07,1.2635093052567453e-06,1.1465178073553065e-06
0.8500000000000001,0.01,89.28483082929768,0.0,-1.2889210751360465e-12,0.4708561715281268,6.942112489419239e-07,7.341132993837523e-07,7.549223124888368e-07,7.416786930565219e-07,7.703590670488695e-07,7.980449804008376e-07
0.9,0.01,92.9490750820587,0.0,-3.6542528639579936e-16,8.893565175217162e-07,0.44855703445861717,3.884831515690616e-08,2.7059437427794848e-08,9.699865090821797e-09,1.6428677179117856e-08,1.4416194031973483e-08
0.9500000000000001,0.01,96.75530660685877,0.0,-1.6394763706783717e-15,0.42540439052597184,1.3783209883272009e-06,7.29708620474717e-08,1.0338464765365862e-08,1.499945409692416e-08,9.969064964256583e-09,1.254117028141585e-08
1.0,0.01,100.69594079143927,0.0,-3.2559972854032252e-15,1.842324000003426e-06,0.40125963402814024,9.14788888773289e-08,7.199219892087365e-09,4.003101262596208e-09,7.461582520350061e-09,1.3716021788525338e-08
1.05,0.01,104.76418748805425,0.0,7.845068765828706e-12,9.786116365802405e-07,0.37593111155048636,3.313117949119762e-07,7.681362151913595e-07,5.065933030532935e-07,6.713981758960057e-07,6.997422660202366e-07
1.1,0.01,108.95397447259671,0.0,1.1566697381873902e-10,8.21722665155569e-05,0.34915375842574164,8.552608974546941e-07,8.703184988485402e-07,1.3974567766436981e-06,9.029032079788764e-07,9.971094364497329e-07
1.1500000000000001,0.01,113.2598320938779,0.0,-5.614636957650398e-11,2.590594613739532e-05,0.3205515149576024,1.4498615645769425e-06,1.7821322227868968e-06,2.2477468996542775e-06,1.1049442955290757e-06,1.3131920895957382e-06
1.2000000000000002,0.01,117.67695046064024,0.0,-1.8743975210892957e-10,0.2895680712996325,0.0001720768630331573,9.594148510038337e-07,2.735913493197659e-06,1.1321550756466486e-06,5.71077318368291e-07,5.662553293648525e-07
1.25,0.01,122.20082159540314,0.0,4.8617936448550164e-11,0.2553156054591095,0.0002774097274720729,9.25500896888174e-07,8.603051471639416e-07,1.0646134636434521e-06,6.597522666290119e-07,1.517056476561921e-06
1.3,0.01,126.82811830687504,0.0,3.760856107794351e-11,0.216224027354279,0.00020534357065795132,1.3407980200581316e-06,1.5639598652340218e-06,1.4962100526289453e-06,2.9573246473122233e-06,1.6090026637454923e-06
1.35,0.01,131.55692644997072,0.0,-3.0109498109220957e-12,0.16897821294968343,0.0004454710692649926,8.977841639210318e-07,2.5296020199696983e-06,1.065854751285359e-06,2.7507632862960884e-06,2.1681426482274455e-06
1.4000000000000001,0.01,136.38592733237,0.0,1.249874614196224e-13,1.2434519150210403e-05,0.10303953305257937,2.9350451788116107e-07,2.4259493844130334e-07,4.1728643860288485e-07,3.82461085082285e-07,7.296962624641148e-07
1.4500000000000002,0.01,141.29928569069713,0.0,4.844286201161724e-18,2.1128202581944327e-07,4.51801475797955e-07,1.7813769881405517e-07,3.099117591188161e-07,3.300280943732716e-07,2.8821540665167934e-07,3.6733624858364424e-07
1.5,0.01,146.23330173731108,0.0,-4.478981753204111e-19,9.479245662933999e-07,2.4732313906129525e-07,3.692244463356004e-07,8.963315921169689e-07,4.742086512039029e-07,6.589703471597257e-07,8.166813217959371e-07
0.0,0.03,20.574560113823168,8.0,9.663214782207699e-06,0.3735752981970975,0.37357484814620867,0.3735751201247016,0.09710384308264063,0.09710281142908515,0.097103361872932,0.09710379348985333
0.05,0.03,20.59877375137756,8.0,-0.017913525192167268,0.3733931853838642,0.37339429312974104,0.37332027332868273,0.09716856421780144,0.09716813859124436,0.09669202592781644,0.09669236638803812
0.1,0.03,20.67179298651812,8.0,-0.03752412612659227,0.3727592211135911,0.3727584233936914,0.3727060912841833,0.09737050323024918,0.09737090448852702,0.09543736996241702,0.09543735319088642
0.15000000000000002,0.03,20.794794550494974,8.0,-0.06129498074197346,0.37138176661023475,0.37138034225181776,0.37220689873038704,0.09776341298906906,0.09776313420336263,0.09326399502755635,0.09326418096781143
0.2,0.03,20.969905048783055,8.0,-0.0930171490250318,0.36872288296908107,0.3687198075350638,0.3726992745702728,0.09849867735169165,0.09849966521188071,0.08998752101929869,0.0899874502184396
0.25,0.03,21.200262665936048,6.0,-0.13279798584517993,0.36459230234125267,0.3645883330566404,0.37429737760877674,0.09962867608732184,0.09962887993874912,0.08569520139439643,0.08569507719076115
0.30000000000000004,0.03,21.488030384852575,6.0,-0.1662007528779865,0.3609358819927705,0.3609279622517906,0.3731968185513379,0.10030389603743067,0.10030298501280596,0.08162281460146995,0.08162305836955065
0.35000000000000003,0.03,21.833341798197456,6.0,-0.1913727508780091,0.3583856005753725,0.35841569417300656,0.3681123530633233,0.1002015841745159,0.10020095048486544,0.0780124619265358,0.07801993760830073
0.4,0.03,22.2368160760463,6.0,-0.21319323675505414,0.356409772326412,0.3564013030831504,0.35996554878076886,0.09951435897051818,0.09951536040039802,0.07447249551346641,0.07447049762505795
0.45,0.03,22.699944531871253,6.0,-0.23354364389465682,0.35460558625504607,0.3545902076255422,0.3491227705501862,0.09828422188399702,0.09827498201406024,0.07082644349850761,0.07082083303001831
0.5,0.03,23.22640895640278,6.0,-0.2567508984654243,0.35585885143416374,0.3558996315250978,0.3274846427063633,0.09449868518927841,0.09455725283480318,0.06807113059792451,0.06823054672532175
0.55,0.03,23.824235304936508,2.0,-0.28214394035009854,0.3528473995811251,0.35274181757041767,0.3108017656795766,0.09352963194871362,0.09351017255286127,0.08648818036023177,0.03899421806254256
