h,T,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,0.01,63.864004358185106,8.0,-3.1699069685448868e-06,0.37611895967102965,0.37611981961005886,0.376120461528746,0.09914085404734317,0.09914026018605568,0.09914132020461981,0.09914079717062847
0.05,0.01,63.93617740680866,8.0,-0.017579489890128343,0.37604014044956835,0.37585757802781145,0.3758583165099281,0.09897084997660704,0.09897107748775434,0.09897064625288096,0.09897120412407928
0.1,0.01,64.15274843014474,8.0,-0.035057406388374596,0.3758035294653199,0.3750681122264359,0.37506790299500575,0.09846464749322201,0.09846519298832371,0.0984654609787633,0.09846570610725214
0.15000000000000002,0.01,64.51390000800268,8.0,-0.052340963201708196,0.3754030982632916,0.3737425011614727,0.3737429815967979,0.0976321156581264,0.0976333908316424,0.09763127393208866,0.09763290335858829
0.2,0.01,65.02007114577859,8.0,-0.0692769228680035,0.3748349621133917,0.37186757116931524,0.3718668563341891,0.09648631377070081,0.09648836931480599,0.0964865400841722,0.09648835222354818
0.25,0.01,65.67191866905496,8.0,-0.08574425411976418,0.3740995413262953,0.36941120284938034,0.3694122005153542,0.09504057029203287,0.09505386140651882,0.09504072411013118,0.09505274812037219
0.30000000000000004,0.01,66.49774422585135,8.0,-0.12037049848675539,0.37455802458445253,0.3651776945924433,0.3651765914249505,0.09181198597063697,0.09181398789345811,0.09181413536739493,0.09181496373512463
0.35000000000000003,0.01,67.4835165712977,8.0,-0.14456682128497428,0.372397119268889,0.3619401961595565,0.3619408203838047,0.08940299219019643,0.08940214039096658,0.08940137058379741,0.08940073098817605
0.4,0.01,68.6253799258972,8.0,-0.16959475695024004,0.370135978310621,0.3579132998622204,0.35791489348047356,0.08659540449071473,0.08659112712864336,0.08658529089888418,0.08658373824795712
0.45,0.01,69.89367837464206,8.0,-0.19446638625740428,0.36813948408990127,0.35250357001342036,0.3525771093825475,0.08337917575919969,0.08334354949456359,0.08339829646296408,0.08334777817365331
0.5,0.01,71.32086829335397,8.0,-0.21761743132978026,0.3671222348581858,0.34555715666949033,0.34552264959370066,0.07980619510181228,0.07978082798543787,0.07978377622740292,0.07976362946021198
0.55,0.01,72.8405365909054,0.0,-0.000481455227385084,0.5633358099393453,0.13639026111724517,0.13645273830612503,0.012322831356780431,0.012328766534465825,0.012319614596786575,0.012321983049221668
0.6000000000000001,0.01,75.49931339568819,0.0,-5.355424594259906e-15,0.5732716360066763,6.673399583176675e-06,6.0514114803532825e-06,7.134448929398175e-07,1.6822808035327417e-06,1.1405883089659495e-06,9.648690676815045e-07
0.65,0.01,78.34955645792553,0.0,5.536653287308327e-18,0.5573116622697493,1.6049163734215057e-06,1.3055362897640077e-06,7.976393515774351e-07,9.222839711861497e-07,9.401134294479561e-07,7.978761227247552e-07
0.7000000000000001,0.01,81.35619958067213,0.0,-2.770679858194087e-19,0.5407981477794794,1.224758179363854e-06,7.878797056509132e-07,1.5575413454830822e-06,4.677763568298863e-07,4.4538250693562605e-07,1.564580572466486e-06
0.75,0.01,84.51192348186736,0.0,-2.9031383879259935e-22,0.5237304979499928,8.144024298711277e-08,5.2495029583725735e-08,1.2565876649087098e-08,1.4615326599554567e-08,1.51464400263192e-08,1.189855742354199e-08
0.8,0.01,87.81002690542459,0.0,-8.186110224798291e-22,0.5060924105164983,1.1889259165091318e-07,1.3050000734488551e-07,8.089830086681134e-09,1.2474927194350711e-08,9.361195710837156e-09,1.0039280628805102e-08
0.8500000000000001,0.01,91.24435620204122,0.0,-2.0173252075775983e-15,0.4878524209423513,1.0039796539019074e-06,1.2196317781519569e-06,1.711087150343591e-06,1.166279738145822e-06,9.436262857786679e-07,2.1193874173309336e-06
0.9,0.01,94.80941541090444,0.0,-9.946010316951712e-19,0.4689695369254875,4.0370611412932694e-07,6.956593321417986e-07,4.568625790211867e-07,2.2419906278988154e-07,2.1256009865048825e-07,4.603535716592311e-07
0.9500000000000001,0.01,98.49997646789991,0.0,1.3761432366978122e-23,0.44937842869762873,4.2589358060006607e-08,6.326055085235654e-08,1.0980921479185471e-08,7.692128814706347e-09,1.1347106685904905e-08,8.945364236601033e-09
1.0,0.01,102.31130464171795,0.0,-2.4426194405954783e-23,0.4289988889479509,1.506237191308461e-08,4.569536436035103e-08,7.555423718893538e-09,6.0041365314704405e-09,1.3245345229662786e-08,8.220144797119231e-09
1.05,0.01,106.23904416068858,0.0,5.130483114849686e-25,0.4077250661409057,2.437759659665232e-08,2.12711046043881e-08,5.922888977225332e-09,6.964304823629571e-09,9.346817495321861e-09,5.017732916662284e-09
1.1,0.01,110.27915580622853,0.0,-7.223602308042422e-20,0.38541842494329814,2.728599914000317e-07,2.083964276928296e-07,4.9880051829056175e-08,3.343003071312562e-07,3.7520070590769066e-07,7.568272631430952e-08
1.1500000000000001,0.01,114.42788782483298,0.0,-3.616236613191891e-19,0.3618951491979631,5.07396056676804e-07,5.334182728237796e-07,3.2337944788868016e-07,6.263037167287504e-07,7.667210320516049e-07,3.83587862581265e-07
1.2000000000000002,0.01,118.68177150366122,0.0,6.029622622036595e-17,0.3369061257118438,6.69580433105636e-07,3.394148807170712e-07,6.610212563128063e-07,1.0389154718598331e-06,9.385313319449126e-07,6.581723888694814e-07
1.25,0.01,123.03753623499492,0.0,1.9311624424879631e-16,0.3101000203984421,6.493186877876787e-07,1.3690555174177391e-06,1.4190403761627464e-06,9.800015035208981e-07,1.7187933941023262e-06,1.1653112986901385e-06
1.3,0.01,127.49240091599188,0.0,-1.133157024731001e-15,0.28096314175423825,1.452822640268656e-06,6.96102657513304e-07,1.7660968513758607e-06,1.5890678853915546e-06,1.5422004158820903e-06,2.433933096606047e-06
