h,G,Nm,chi,mag,C,m1,m2,m3,m4,m5,m6,m7
0.24,2.589242781302166,4.0,0.0012307836174738755,0.15562053184540375,1.5264494850522337,0.1564337638651926,0.15643383275777395,0.09230569851326978,0.00533401950325272,0.005333975351150328,0.004464487677878254,0.004464528113697422
0.245,2.590990582999395,4.0,0.001170620912034946,0.1589878101719049,1.5257414678487569,0.15651798921263144,0.15651790958190828,0.08897781732186244,0.005172518794399224,0.005172523129816861,0.004296595936592396,0.004296257513148363
0.25,2.5927758645727637,6.0,0.0011050313489900116,0.16236772261124827,1.524175560176283,0.1565986138387883,0.15659858444361477,0.08546204761933138,0.004998552395590822,0.004998629288033546,0.004120021014654206,0.0041200158794076425
0.255,2.5945987110993367,4.0,0.0010334688143155291,0.16574748295283023,1.5259037408555525,0.1566756598245798,0.15667575133206868,0.08173356648138912,0.004810663947168366,0.004810676439971478,0.003934104971404843,0.003934008871837347
0.26,2.596459215775022,4.0,0.0009563693771676148,0.16914360153335833,1.525199661577048,0.15674893146899502,0.1567488491157865,0.07776325598381266,0.004606382073966184,0.004606125780827422,0.0037373339167750086,0.0037373603313223813
0.265,2.598357461485772,4.0,0.0008737193068215948,0.1725473229992852,1.5248381226459842,0.15681791301539202,0.15681794520247697,0.07351226965893176,0.00438311711291866,0.004383111858418038,0.0035278855395343535,0.003527826574613178
0.27,2.60029354952041,4.0,0.0007848321544004382,0.1759551880204398,1.5246777258784288,0.15688219998916134,0.1568821363061767,0.06893199341523072,0.004137576389600702,0.004137566292195558,0.003303418829338192,0.0033035649387914996
0.275,2.602267577884092,4.0,0.0006894938815691833,0.17937332047806467,1.5250668087141428,0.15694139716009417,0.15694137045237744,0.06395188906529928,0.003864651228704228,0.0038648981661419213,0.0030611431591854033,0.003060947820520925
0.28,2.6042796288967205,4.0,0.0005881597085496692,0.18279901128474263,1.5242656156301895,0.15699499234745515,0.15699534864881945,0.05847154043880346,0.0035583203850112054,0.003558316866922534,0.002795571246926831,0.0027952445593083567
0.28500000000000003,2.606329813977996,4.0,0.00048115106830669697,0.18623561179175335,1.5237527283790477,0.15704332125811357,0.15704324244022408,0.05233539176078182,0.0032075662681340317,0.0032075335314522076,0.00249942779728564,0.0024997023927783805
0.29,2.6084182263475153,4.0,0.00036717843050480375,0.1896792397994207,1.523777791363659,0.15708537442358655,0.15708527924557572,0.045278498943275625,0.0027952495914770367,0.0027951736111881086,0.0021603580845129095,0.0021604993717581214
0.295,2.610544970525316,4.0,0.0002470402879895313,0.19313741911202006,1.5242000557848105,0.15712085802043205,0.15712080799532427,0.036780245273771314,0.002287253465852533,0.0022873579114568512,0.0017537238973311757,0.0017536599277409575
0.3,2.6127101452186854,4.0,0.00012045314591484968,0.19660017900570537,1.5234233891805309,0.15714937910671972,0.15714924896859742,0.025436671713316237,0.0015937806331285697,0.0015936784658570268,0.0012123037348889683,0.001212187760285139
0.305,2.6149138540843517,0.0,4.215082746392047e-09,0.20006275937155715,1.4514915112249087,0.1570768196514793,0.1570768919692629,0.00015125487303545228,9.606506561367076e-06,9.291011129015118e-06,7.119408248922463e-06,7.04731183900874e-06
0.31,2.6171554792605454,0.0,2.6048561528750475e-11,0.2034328357615171,1.450430991514942,0.15608084633617952,0.1560807140713351,1.8217480230869908e-06,3.143883225395972e-07,3.079979191007564e-07,2.806448107590567e-07,3.7908885189829597e-07
0.315,2.6194345741227494,0.0,4.6655671967372216e-11,0.2068044231911217,1.4482530560149254,0.15506401551837212,0.15506401217769733,9.99315848470103e-07,2.715467380336039e-07,2.0748435284255814e-07,2.2986986785340973e-07,3.7446697055712757e-07
0.32,2.6217511757596856,0.0,2.646079168645167e-11,0.2101813742962905,1.4471991071448795,0.15402632295192598,0.154026414995744,3.7828226646548165e-07,1.8892611969058566e-07,2.9414844212421795e-07,3.0380020222447813e-07,3.192304696698077e-07
0.325,2.6241053117202946,0.0,3.4523033659419434e-11,0.2135608353459899,1.4463182046246386,0.15296753443526825,0.15296769243100164,5.436186263956089e-07,2.0437772294180328e-07,2.7209836314849154e-07,2.3223657524131589e-07,2.0635805278475848e-07
0.33,2.626497017070984,0.0,3.623574887761486e-11,0.21694415638353842,1.4450188587229948,0.15188734724094233,0.15188743153225673,4.0311755015510696e-07,1.981316148675757e-07,3.0514415155627233e-07,1.9774181356093188e-07,2.863683223690272e-07
0.335,2.628926321974055,0.0,3.774541735714878e-12,0.22032972890942848,1.4438455225573992,0.15078550953327077,0.15078563439731177,1.9539074136024475e-07,6.12528456837042e-07,3.093774123322249e-07,2.690122417995071e-07,3.770883698792712e-07
0.34,2.6313932536821594,0.0,1.9213273555426423e-11,0.223717717661289,1.4434339071957014,0.14966165035289097,0.14966181392603628,1.4180562394314324e-07,2.9190580405613197e-07,3.2129701956984256e-07,2.242589246680141e-07,2.6460953929611637e-07
0.34500000000000003,2.633897840861406,0.0,6.756593673538834e-12,0.2271075649975782,1.4420289882608948,0.1485156424760016,0.14851574682995775,2.3912776964600186e-07,3.8932073334645787e-07,3.256801689579138e-07,2.9929875733777475e-07,3.6414550480456106e-07
0.35000000000000003,2.6364401106988273,0.0,3.1215378988286746e-11,0.23049928229770855,1.4409734510950345,0.1473471087003542,0.14734709634613977,2.4362000448861034e-07,3.6868897980684865e-07,4.853057508650139e-07,6.994952982360661e-07,4.902209511973927e-07
