p,h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,0.0,103.75104635545301,8.0,-3.913521603947237e-06,0.37987033437175594,0.37986174575994525,0.3798703624235144,0.07210276682361376,0.0721036786187202,0.07210632175973343,0.07210921713370756
0.0,0.1,103.95168784313964,8.0,-0.03712340534753785,0.3791400335050766,0.3796352882603621,0.37965855451488734,0.0717443629430026,0.07173692904476406,0.07174837545558678,0.07174359437007963
0.0,0.2,104.55089336906772,8.0,-0.07417164461243674,0.37641139281620134,0.379282393021707,0.37925846252451945,0.07069074073665772,0.07068696423697776,0.07069098444944888,0.07069492546799379
0.0,0.30000000000000004,105.57034636086453,8.0,-0.07179480993466075,0.4291495914133301,0.34778821811263094,0.347767587983187,0.06601918386237866,0.0660135429398783,0.06600475894504527,0.06601599951591867
0.0,0.4,107.02508163004875,8.0,-0.07730867333390785,0.43882059590776085,0.3376917079387916,0.3377068875595092,0.062426512032581115,0.062431708005688535,0.062428537372906406,0.06242014079812849
0.0,0.5,108.8994060507071,0.0,-0.03855620858849164,0.48013756963365756,0.3053922943309344,0.30539296241917996,0.05310933670509046,0.053104495003536215,0.05312644875270987,0.053116694818261166
0.0,0.6000000000000001,111.26688366615915,0.0,-0.02172309708294192,0.5064656695912213,0.2768628780055004,0.27694164052306136,0.042930365844288325,0.04297413990565399,0.042917737781279774,0.04295217373081471
0.0,0.7000000000000001,114.14419470367505,0.0,-0.013645781146999164,0.5223823412600389,0.25072665428942376,0.2510502174651898,0.03332577364392441,0.033337424874198884,0.03333356012353371,0.03332391555163374
0.0,0.8,117.56845226693466,0.0,-0.005265302681198722,0.541115513086626,0.21351017887150295,0.21296428488508407,0.021621989043141224,0.021643410277047696,0.02165375156278217,0.021695052879166607
0.0,0.9,121.73095232168485,0.0,-0.00041208195835349955,0.567991294689907,0.13693026210028533,0.13742016773581986,0.006839148156234805,0.006840531453674498,0.006831240007392138,0.006831742235655577
0.0,1.0,126.97661467328099,0.0,1.1921549696981588e-14,0.5752886700516736,7.356868703667837e-06,1.2865332982416865e-05,8.020955991007432e-06,8.805214121631817e-06,1.0355484348452902e-05,6.998230608064533e-06
0.0,1.1,132.72557778104533,0.0,2.6236218107743667e-20,0.5560505411639071,5.778361420916425e-07,3.197123124553466e-07,4.5905467278554306e-06,3.075605048394638e-06,3.0728450181516617e-06,4.588454447607291e-06
0.0,1.2000000000000002,138.84611675625558,0.0,-4.833633549573378e-20,0.5360270035796025,2.9834605437533904e-07,3.188785158338481e-07,7.422792707224166e-07,5.195422084990735e-07,6.25435461665991e-07,5.469673426732354e-07
