p,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.49,54.205988022912805,30.0,-1.9135909426926546e-07,0.29733446579912054,0.36178496900752,0.29611014741968733,0.20863749956220573,0.20961129270535117,0.20952527897017822,0.20909679387421404
0.495,54.1095329544106,33.0,1.3754315278996423e-06,0.27406644650062684,0.40360930886041185,0.1853403760631031,0.2309210203008057,0.23135081319831252,0.23137335311286308,0.23083506895510567
0.5,54.095951316656574,35.0,5.849748397641213e-07,0.1769712449489433,0.2519894498338666,0.39624333896217606,0.24086598973427045,0.24054439938037517,0.24190786819302784,0.24207573495810528
0.505,54.110892797087146,35.0,-5.056562413947689e-06,0.22518716974188932,0.162430015847657,0.387363011984069,0.2512727136471933,0.25228963750522637,0.2535392371213396,0.2546186737927978
0.51,54.15513908134832,40.0,5.139536702015654e-07,0.1415545025805543,0.19240506590168316,0.3746701980718418,0.265505175685956,0.26567512978657243,0.26702053759223,0.26629601906266354
0.515,54.35915713093756,46.0,9.989685401936774e-08,0.3275696204609563,0.12566676655586925,0.12472776541620004,0.29038738089049476,0.2907587261954263,0.29091014479914057,0.2906931626630057
0.52,54.6788801659441,55.0,7.78022007107994e-08,0.22785719966523027,0.0007145990655901062,0.0004238230259436536,0.32564198485659335,0.325588391462473,0.3257596977690451,0.3260919911581994
0.525,55.155075623237174,59.0,-6.773760638928157e-08,0.1068738249352419,0.0006249317280580103,0.0004560424266087346,0.3420125811311083,0.34195214276768415,0.3417852710020021,0.34199251556145016
0.53,55.67786232991261,51.0,1.4269038693914523e-08,0.002968583866537765,0.0005707156135708536,0.0004325751255964152,0.3462405877349881,0.3463744857343332,0.3460387756244456,0.3471992557790289
0.535,56.21344528887359,51.0,-5.928197871872277e-08,0.000399841898109868,0.0010515365818787785,0.00039047503703067707,0.34626431688917736,0.34626275121790756,0.3464132226855477,0.34689035702381393
0.54,56.747471219426764,51.0,-8.072933848444211e-08,0.0003300596583954155,0.000669006336394923,0.0003436977830581011,0.34621109212811413,0.34625632989950017,0.34641412148345335,0.3469517072603446
0.545,57.28449101465903,51.0,2.555793122860253e-08,0.00017473875732600426,0.0006744434036242185,0.00021761946355698032,0.3458560382421607,0.34656822443030716,0.3466989315035107,0.3467165848406126
0.55,57.817504504763065,51.0,-1.2570648912202235e-07,0.00021935294278305185,0.0005010614592050905,0.00028246419739415263,0.3461283859864358,0.3462529043877504,0.3464426163994376,0.3470093315321892
0.5549999999999999,58.3160312160257,51.0,-2.3678520617718057e-07,0.00034239963746589063,0.0006535074908229854,0.00019091270457878166,0.34651049271945533,0.3464508766170348,0.345652840003708,0.34728388652217707
0.56,58.844921162793796,51.0,-3.296429381358665e-07,0.0003166594290825745,0.0005785306841868304,0.0001746641758123834,0.3464644825965945,0.34646628245914485,0.3456788396065379,0.3472937504688785
0.565,59.37503694506623,51.0,-3.7098640800724823e-07,0.00029694692044226535,0.0005069337990662135,0.00015347983821737042,0.3464157114244629,0.34648843820341296,0.3457070028038128,0.3472952387660939
0.5700000000000001,59.908062357251254,51.0,-2.890046723314204e-07,0.00025507308566421566,0.0004441104721707435,0.00013072433679627861,0.3463603360942594,0.34654770669576196,0.3457062864523796,0.3472918096728539
0.575,60.439621798341506,51.0,-2.664994992357698e-07,0.0002207572198531022,0.0003896549811745434,0.00011623682354602191,0.3463130116814234,0.34657123277599483,0.34572963126607964,0.3472920972236746
0.58,60.96651809261109,51.0,-2.7536145161580986e-07,0.0001800312140856331,0.00033542513767838733,9.573823584411347e-05,0.34627194506018694,0.34660661668539755,0.3457497247325822,0.34727970553437326
0.585,61.49498327811433,51.0,6.786165915273842e-08,0.0002148541491338244,0.00020285484898130874,0.000184285417649064,0.34637805473290884,0.34639920452398476,0.3456072645312562,0.3475577192796134
0.59,62.026355628131654,51.0,7.482282900079645e-08,0.00019399899631951294,0.0001931123884753776,0.00017017493263561217,0.3464013104221348,0.3464273021524207,0.34557974490682025,0.34752986305818323
0.595,62.556404002877976,51.0,7.203982274272777e-08,0.0001811474965404837,0.00018692657870955176,0.00015523696283802004,0.3463991552153968,0.34644773738875223,0.34557050142832657,0.3475192408975888
0.6,63.08846049135865,51.0,6.231889059988053e-08,0.00016416465903316743,0.00018460260435782915,0.0001445713110380256,0.3464133956913348,0.3464525005074938,0.3455784716718616,0.3474892895636605
0.605,63.6192105281776,51.0,6.175691277640518e-08,0.00015031091292448594,0.0001781671452864724,0.0001383042950288929,0.3464013008993927,0.34648532219016226,0.34556726154483636,0.34747853167231546
0.61,64.14963300265406,51.0,5.22446881331574e-08,0.00014121433243601713,0.00017112216063899406,0.0001349071294673401,0.34639538114443735,0.34648798337848197,0.34558357363301045,0.34746400361372864
0.615,64.68126694398511,51.0,4.727397124001026e-08,0.00013636370225883357,0.00016413428576112594,0.00012869697113345542,0.3464005972087758,0.3464723538784774,0.34559200651403205,0.3474643515903104
