h,T,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,0.01,63.864004358185106,8.0,7.685284175498205e-06,0.37611895967102965,0.37611981961005886,0.376120461528746,0.09914085404734317,0.09914026018605568,0.09914132020461981,0.09914079717062847
0.05,0.01,63.93630157622713,8.0,-0.017955986184133625,0.375917617863349,0.37591741271175305,0.3759185761868412,0.099131158490387,0.09913060014887927,0.09913114974884561,0.09848760516981966
0.1,0.01,64.15469029712182,8.0,-0.03830821283630246,0.37529634953971547,0.37529871262495323,0.3752990591206616,0.09910818522711404,0.09910755822379012,0.09910684447301395,0.09647548695116588
0.15000000000000002,0.01,64.52374858393406,8.0,-0.06381127985725789,0.3742129473540441,0.3742209713064646,0.37422014754980115,0.0990933772391302,0.09909449972847872,0.0990947631317346,0.09293931287123358
0.2,0.01,65.05113559355391,8.0,-0.09815364671660845,0.37260157611645306,0.3726014591208759,0.3726017300231245,0.09915530822553084,0.09915532081888886,0.09915473937325052,0.08756577284106655
0.25,0.01,65.74790559648424,8.0,-0.14634400639109474,0.37031293622835826,0.37033942134235803,0.37031631176977026,0.09942924134898987,0.09943222018074073,0.09942985496976668,0.07988192834967303
0.30000000000000004,0.01,66.62878623719624,8.0,-0.21116196803111775,0.3672673132155287,0.36716734877394486,0.3671698193503673,0.10015608658181768,0.10013474636475421,0.10013490211811306,0.0695508840751818
0.35000000000000003,0.01,67.70856077251214,2.0,-0.28030726393895244,0.36273150999235654,0.36335160239540326,0.36331389890316723,0.10126399487577048,0.10144165989118291,0.10142726514185241,0.05760935346864729
0.4,0.01,69.00404447442936,2.0,-0.3125996649868367,0.35829057206306575,0.35799375367368164,0.35791383172529956,0.10333998134111615,0.10341121356460437,0.10388591179016088,0.043498707470341014
0.45,0.01,70.49677536696548,2.0,-0.3307207180054133,0.3531856770879151,0.3532704515158965,0.3517115722444224,0.1038892201258468,0.10384294232149298,0.10463930157600786,0.0337791026185937
0.5,0.01,72.18135997574932,2.0,-0.3393666930961583,0.3456448038576677,0.3473423538978819,0.34724916992490246,0.10495980528604737,0.10392333573341371,0.10399339609140325,0.02510157159610944
0.55,0.01,74.05572554521495,2.0,-0.3411839133986603,0.34032737564972365,0.3403730354249193,0.33968262388799564,0.10390893070554974,0.10385802273559419,0.10437505589942067,0.017395806351450046
