p,h,G,Nm,chi,m1,m2,m3,m4,m5,m6,m7
0.0,0.0,103.75104635545301,8.0,-3.3542836327456187e-06,0.37987033437175594,0.37986174575994525,0.3798703624235144,0.07210276682361376,0.0721036786187202,0.07210632175973343,0.07210921713370756
0.0,0.1,103.95221013604217,8.0,-0.037936395223042305,0.37948387846380305,0.37947906928401537,0.37946268465327243,0.07195298547754875,0.07195315379134899,0.07194807015116876,0.07109089977403613
0.0,0.2,104.55942725815608,8.0,-0.07966506728135697,0.37827792574419655,0.37825471435939256,0.3783018256977766,0.07146810728721593,0.07146388968841974,0.07147035241173541,0.06808812973115802
0.0,0.30000000000000004,105.58221338448226,8.0,-0.12736752698074605,0.3761989635978029,0.3761923473086058,0.3762909373735604,0.07057779039697325,0.07057721762483651,0.07058034307230765,0.06324399207540704
0.0,0.4,107.03185935593888,8.0,-0.1797428313808097,0.3732684593016997,0.37335733075834,0.3732239820017851,0.06924707978433933,0.0692489257248976,0.06924403773728226,0.0569065889697873
0.0,0.5,108.91645537029355,8.0,-0.23191913754029508,0.3694738335013997,0.36948933090566033,0.36935090431870266,0.06757600049321186,0.06758405689713781,0.06758810062199354,0.04954013635447232
0.0,0.6000000000000001,111.24172266826903,2.0,-0.2702767566843543,0.36444248380943817,0.3642141650323447,0.3644138694164049,0.0647133992269547,0.06471591082251679,0.06472259471274201,0.04077887188541395
0.0,0.7000000000000001,114.02901614741525,2.0,-0.30278379157803015,0.35883947929490356,0.3587752466929433,0.35879889493985495,0.06369272290806441,0.06368795078850487,0.06368974767609133,0.0320717700623901
0.0,0.8,117.25213917413723,2.0,-0.32294586335235315,0.3522321277822096,0.35224652564734765,0.35226789014015436,0.06279087803723996,0.06279372767154263,0.06279245832045584,0.023500151424234186
0.0,0.9,120.91961141311306,2.0,-0.3322306572575184,0.3445237461897184,0.3445462575021415,0.3445626218130779,0.061955069212867274,0.0619561155849225,0.0619475121076025,0.01493399018969888
0.0,1.0,125.0459667534887,2.0,-0.3308233389045417,0.3354591836065572,0.3354806838056416,0.33547829905415816,0.06105910429858095,0.061053399997695525,0.061057740485719686,0.00646999354346072
0.0,1.1,129.65377598225874,2.0,-0.3178373131369679,0.3246963936707209,0.3246897637062382,0.32469639289940816,0.059814607779580135,0.059814098995480486,0.05980850170066973,0.0014615918833478575
0.0,1.2000000000000002,134.81857721201604,2.0,-0.25808246341174573,0.31025850449091563,0.31023759177683047,0.3102780460994116,0.0575100586371782,0.05753302439045347,0.057554487567799247,0.010403457886973742
0.0,1.3,140.29386381974206,0.0,-5.406237969803945e-09,0.00015340022704133516,0.0001200726862999585,0.4958159061270649,1.019196850642946e-05,6.144775822888653e-06,1.179986298815673e-05,5.6447412210315035e-06
0.0,1.4000000000000001,147.33424573761695,0.0,-3.2867078763978867e-10,8.042264569218269e-05,7.077039349456105e-05,0.4680504002650864,7.657286433362058e-06,1.462065475066617e-05,8.343704133410246e-06,5.768078158192433e-06
0.0,1.5,154.763409833375,0.0,-4.80333871111662e-10,0.43920397826831903,8.525202712002188e-05,8.514639548313593e-05,1.0725533539381775e-05,8.122922988582241e-06,7.81560034513161e-06,7.864502705870098e-06
0.0,1.6,162.5502941392897,0.0,-4.254825578442173e-10,1.9440840251256808e-05,0.40906626086934716,4.033383976447124e-05,7.258021203338125e-06,8.390979485436417e-06,1.4765057646570602e-05,2.02599897835283e-05
0.0,1.7000000000000002,170.66846278078228,0.0,-7.517241873311271e-10,0.00012053990602245272,0.00011966287817309084,0.3772998163275769,7.585235183212779e-06,9.25752733839291e-06,4.9292164750302966e-06,9.527284485638623e-06
0.0,1.8,179.09538013747493,0.0,-8.372544882254045e-10,0.0001612771937686389,0.0002197454553515093,0.3434037842491382,1.3561992205672135e-05,1.4960343786356405e-05,8.003192463159333e-06,7.777245778728946e-06
0.0,1.9000000000000001,187.8118159290929,0.0,-4.2017524761635595e-10,0.3066161231813075,0.00012229926581963004,0.00015772722760138522,1.0346997669731253e-05,1.1408467917721307e-05,7.471425318685718e-06,1.1867358440275049e-05
0.0,2.0,196.80126483976238,0.0,-1.0296559357683268e-10,0.2656591100405255,0.0002715799954299178,0.00015331165774932717,4.836900556049652e-06,5.025140521255749e-06,5.13232704953552e-06,7.719038532995322e-06
0.0,2.1,206.04890778765633,0.0,-3.0291575966452065e-09,0.0013056539452679318,0.00043976067316068456,0.2181049201840578,5.380357519556948e-06,8.249514203543618e-06,8.280457540526698e-06,5.147010975230439e-06
0.0,2.2,215.54611350917278,0.0,-1.0124848520143474e-09,0.0018066926714847564,0.0016693215660772956,0.15801156445182268,5.057121626768207e-06,3.0008431246947177e-06,4.9122601683453725e-06,4.6148626127866064e-06
